Site_Name,Station,Elev,Lat,Lon,installed,County
Scenic Meadow,SCE,9650,36.69,-118.6,1973,Tulare
Shimmy Lake,SHM,6400,41.01,-122.8,1947,Trinity
Siberian Pass,SIB,10900,36.47,-118.27,1948,Tulare
Silver Lake,SIL,7100,38.68,-120.12,1930,El Dorado
Slate Creek,SLT,5700,41.05,-122.48,1945,Shasta
Snow Flat,SNF,8700,37.83,-119.5,1930,Mariposa
Snow Mountain,SMT,6050,40.77,-121.78,1930,Shasta
Soda Creek Flat,SCF,7800,38.27,-119.68,2016,Tuolumne
Sonora Pass,19L07,8750,38.31,-119.61,1930,Mono
Sonora Pass,19L07S,8770,38.31,-119.6,1979,Mono
Spotted Fawn,SPF,7800,38.09,-119.76,1948,Tuolumne
Spratt Creek,19L39S,6063,38.67,-119.82,1984,Alpine
Squaw Valley #2,20K19,7694,39.18,-120.25,1954,Placer
Squaw Valley G.C.,20K30S,8013,39.19,-120.27,1980,Placer
Stanislaus Meadow,SLM,7750,38.51,-119.94,1971,Alpine
State Line,20H01S,5680,41.99,-120.72,2014,Modoc
State Line Am (Ca),20H01,5690,41.99,-120.72,1958,Modoc
Statum Meadow,SMD,8300,36.94,-118.91,1930,Fresno
Stouts Meadow,STM,5400,41.17,-121.94,1945,Shasta
Summit Meadow,19L42S,9313,38.4,-119.54,2004,Alpine
Sunnyside Meadow,SSM,6300,39.7,-120.78,1972,Sierra
Swampy John,SWJ,5500,41.4,-122.99,1951,Siskiyou
Sweetwater,SWT,5850,41.38,-122.54,1936,Siskiyou
Tahoe City Cross,20K27S,6797,39.17,-120.15,1981,Placer
Talbot Camp,TBC,5750,39.19,-120.38,1940,Placer
Tamarack Creek,TMK,7250,37.18,-119.21,1960,Fresno
Tamarack Flat,TMF,6550,38.8,-120.1,1939,El Dorado
Tenaya Lake,TNY,8150,37.84,-119.45,1930,Mariposa
Thousand Lakes,THL,6500,40.71,-121.58,1946,Shasta
Three Lakes,3LK,6250,39.97,-121.21,1930,Plumas
Tioga Pass,19M01,9800,37.92,-119.25,1926,Mono
Tragedy Creek,TRG,8150,38.63,-120.15,1965,Amador
Trailhead,TRL,9100,36.34,-118.16,1982,Tulare
Truckee #2,20K13S,6509,39.3,-120.18,1981,Placer
"Truckee, Upper",19L01,6396,38.88,-119.98,1930,El Dorado
Tuolumne Meadows,TUM,8600,37.87,-119.35,1930,Tuolumne
Tyndall Creek,TND,10650,36.63,-118.39,1949,Tulare
Upper Burnt Corral,UBC,9700,37.18,-118.94,1927,Fresno
Upper Carson Pass,19L04,8500,38.7,-119.98,1930,Alpine
Upper Kibbie Ridge,UKR,6700,38.04,-119.89,1937,Tuolumne
Vernon Lake,VNN,6700,38.02,-119.72,1947,Tuolumne
Virginia Lakes Ridge,19L13S,9445,38.07,-119.23,1979,Mono
Virginia Lakes Ridge,19L22,9200,38.08,-119.25,1969,Mono
Volcanic Knob,VLC,10050,37.39,-118.9,1946,Fresno
Wabena Meadows,WBM,6300,39.23,-120.4,1937,Placer
Ward Creek #2,20K17,7000,39.14,-120.22,1913,Placer
Ward Creek #3,20K25S,6745,39.14,-120.22,1980,Placer
Warner Creek,WRN,5100,40.39,-121.31,1930,Plumas
Webber Lake,20K02,7000,39.48,-120.43,1925,Sierra
Webber Peak,20K01,7800,39.48,-120.44,1922,Sierra
Whalan,WHN,5400,41.15,-122.45,1940,Trinity
Wheeler Lake,WHE,7800,38.52,-119.99,1937,Alpine
Willow Flat,19L09,8231,38.26,-119.46,1925,Mono
Wilma Lake,WLW,8000,38.08,-119.63,1946,Tuolumne
Wolford Cabin,WLC,6150,41.2,-122.83,1949,Trinity
Woodchuck Meadow,WDH,8800,37.02,-118.91,1930,Fresno
Wrights Lake,WRG,6900,38.85,-120.23,1956,El Dorado
Yuba Pass,YBP,6700,39.62,-120.49,1937,Sierra
